ABCC3	1	0	1	2	1	2	0	2	0	1	2	1	2	1	1	2	1	1	2	2	2	2	1	2	0	1	1	0	0	2	2	2	0	0	0	2	1	1	2	1	1	1	1	1	0	2	1	0	0	0	2	0	2	0	2	2	1	1	1	2	1	1	1	0	1	2	0	1	2	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	0	1	1	0	1	2	1	2	0	2	1	0	0	1	1	2	2	1	0	0	1	0	2	1	1	1	1	1	2	2	1	1	1	2	0	0	1	1	2	0	1	0	0	0	1	0	0	1	1	1	2	2	2	2	1	1	2	0	1	1	1	1	0	0	2	2	1	2	1	1	0	2	0	1	2	2	1	0	2	2	0	2	1	1	0	1	2	2	0	2	1	1	1	1	1	2	1	1	0	1	2	1	1
ABCG1	2	0	2	2	1	0	2	1	0	1	0	1	2	2	2	0	0	2	1	2	0	2	2	2	0	0	1	1	0	0	1	0	0	0	0	1	2	2	2	1	0	2	1	2	2	1	2	2	2	1	2	0	1	0	1	1	0	1	2	2	1	2	0	2	0	1	2	0	0	0	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	0	2	2	2	1	2	1	1	1	0	2	2	1	1	0	0	1	1	0	2	1	2	1	2	1	0	0	2	2	0	2	2	2	2	2	2	2	2	2	1	2	1	2	1	0	2	2	1	2	1	2	2	2	1	2	2	1	1	0	0	2	2	0	1	2	0	2	2	2	1	2	2	1	1	2	2	2	1	0	0	2	1	0	1	1	2	2	2	2	2	1	0	0	2	1	2	1	2	0	1	2	1	2	2
ABHD2	2	0	2	2	2	1	1	2	1	2	0	2	2	1	1	1	2	1	2	0	2	2	1	2	2	2	2	2	1	1	2	2	1	0	1	2	2	1	2	2	0	1	1	2	0	1	2	1	2	2	1	0	1	1	2	2	1	1	1	0	2	1	2	2	2	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	0	0	1	1	1	1	1	2	1	2	2	1	2	1	0	2	1	0	1	1	1	1	2	0	2	2	1	2	0	1	1	0	2	2	1	2	0	1	1	1	2	1	0	1	2	1	1	2	2	0	1	0	2	1	1	2	0	1	2	1	0	2	2	0	1	2	0	1	2	1	0	2	0	0	2	1	1	2	1	1	0	1	2	0	0	1	2	2	2	2	0	1	2	1	2	2	2	0	2	2	1	1	1	1	1	1	2	2	1
ACPP	1	1	1	1	2	1	0	1	1	1	0	2	2	1	0	1	2	0	1	0	0	2	0	2	2	0	2	1	0	1	1	2	2	0	0	0	2	2	2	1	1	0	0	1	0	2	2	1	2	2	2	0	0	1	1	1	0	0	0	1	2	0	2	0	1	1	1	1	0	2	1	1	0	1	1	2	1	1	1	0	0	1	0	1	1	1	1	0	0	1	2	1	1	1	1	1	1	0	1	2	0	1	2	2	1	1	1	1	0	1	2	0	2	2	2	2	0	1	1	1	2	1	0	1	2	0	0	1	2	1	0	0	2	1	0	1	0	0	0	0	1	0	1	1	1	2	0	1	1	0	1	1	1	0	0	1	1	0	1	0	1	1	2	1	2	0	1	1	1	2	1	1	2	1	1	2	1	2	2	1	0	1	1	1	1	1	1	2	0
ADAM28	0	0	1	1	0	1	2	1	1	1	1	2	1	2	2	0	1	0	2	2	0	2	2	0	1	2	2	0	0	0	2	2	1	1	0	2	2	0	1	2	2	2	2	0	0	2	1	1	0	2	1	2	2	2	0	2	1	2	1	0	1	2	1	1	2	0	2	1	1	2	2	2	2	1	1	1	2	2	2	2	1	0	2	2	1	2	2	2	2	1	2	1	2	2	0	1	1	1	2	0	1	1	1	1	2	1	2	2	2	2	0	2	1	1	1	1	2	2	2	2	2	0	2	1	2	1	2	0	1	1	2	0	1	2	1	2	1	2	2	2	2	0	1	2	1	1	0	2	1	2	2	1	1	1	2	0	1	1	0	2	2	0	1	1	1	2	0	1	2	1	0	2	0	0	1	1	1	1	0	0	2	2	2	1	2	2	2	2	1
ADAMDEC1	0	2	2	1	2	1	1	1	0	0	1	0	2	0	2	2	2	1	2	2	2	2	1	0	2	2	0	2	2	2	2	1	0	1	0	0	2	2	0	2	0	2	1	0	2	1	0	0	2	2	2	0	2	0	0	0	2	1	2	2	1	2	2	2	0	0	2	0	2	0	2	2	1	2	1	0	2	2	0	2	2	0	1	2	2	2	0	2	2	1	0	2	0	2	1	2	2	2	2	0	1	2	0	0	1	2	2	1	2	2	1	0	0	1	0	2	1	2	0	0	2	0	2	1	2	1	0	0	2	1	1	1	2	1	0	2	1	2	1	1	2	2	2	2	1	1	2	2	1	0	2	2	1	1	2	2	1	1	2	2	2	0	0	0	2	1	0	0	0	0	1	2	2	1	1	2	2	1	2	0	1	2	2	2	0	2	2	2	2
ADCY7	2	0	2	2	0	0	2	2	0	2	2	2	2	0	2	2	2	2	2	0	0	2	0	0	2	2	2	0	0	2	0	0	2	0	2	0	0	2	2	0	0	0	2	2	2	0	2	0	2	2	0	2	0	2	2	2	2	0	2	2	0	0	0	0	2	2	2	0	0	2	0	2	0	0	0	0	0	0	0	2	2	0	0	2	2	2	2	2	0	0	2	2	0	2	2	2	2	0	0	2	2	0	0	0	0	0	2	2	2	0	2	2	0	2	2	0	2	2	0	0	0	0	2	0	2	0	0	0	2	0	2	0	2	2	2	2	2	2	2	2	0	2	0	0	2	0	0	0	2	0	2	2	2	0	0	2	2	2	0	2	2	0	0	0	2	2	2	2	2	0	0	0	2	0	2	2	2	2	2	2	0	0	2	0	0	2	2	2	0
ADORA2B	1	2	0	1	0	2	1	0	0	1	1	2	2	1	0	1	1	1	1	0	0	1	1	1	0	2	2	1	0	1	2	1	1	0	0	0	1	1	2	0	0	1	0	1	1	0	2	1	0	2	1	0	0	0	0	1	1	1	2	2	1	0	2	0	0	1	1	1	1	2	0	1	0	1	0	1	1	0	2	1	1	1	1	1	1	0	0	1	0	1	2	1	1	2	0	0	1	0	1	1	0	2	2	1	0	0	1	0	0	1	2	1	0	1	2	0	1	2	1	1	2	1	1	1	0	1	1	1	1	2	1	1	1	1	0	1	1	0	0	0	2	2	1	0	2	2	0	2	1	1	2	1	2	1	0	0	1	0	1	1	0	2	1	1	2	1	1	1	0	2	0	1	1	1	1	1	2	1	2	1	2	1	0	1	0	1	1	1	0
ADORA3	1	0	2	2	1	0	1	1	2	2	1	2	2	0	1	0	2	1	2	1	1	2	0	1	2	1	2	0	1	1	1	2	2	1	1	2	2	2	1	2	2	2	2	1	1	2	1	1	1	1	1	0	0	2	2	2	1	0	0	0	1	1	1	2	1	0	0	2	1	1	1	1	0	2	1	1	1	1	0	1	1	2	1	1	1	0	2	0	2	1	0	1	2	0	0	1	2	2	2	1	1	1	2	0	0	2	1	1	1	1	0	2	2	1	2	1	0	1	2	2	1	1	1	1	2	1	2	2	1	1	1	0	1	1	2	1	1	0	0	0	0	1	1	2	1	1	1	1	1	1	0	2	1	0	1	0	0	1	0	1	0	1	2	0	1	0	1	2	1	2	0	1	2	0	1	1	1	1	0	1	1	2	1	0	0	1	0	1	1
AIF1	1	0	1	1	0	0	0	2	0	0	1	0	2	0	1	0	2	0	1	2	0	0	1	2	2	0	2	1	1	1	0	0	0	0	1	2	0	0	2	2	0	1	0	1	0	0	1	2	1	0	2	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	2	1	2	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	2	0	1	1	0	0	1	1	0	0	2	2	2	1	2	0	1	0	0	1	0	2	1	0	2	1	0	1	0	2	1	1	1	0	0	0	0	2	1	0	1	2	2	0	2	0	1	0	1	0	0	2	0	0	2	1	2	0	0	0	2	2	1	0	1	1	1	1	0	1	0	2	2	0	1	1	0	0	2	1	0	2	0	1	0	0	0	0	2	0	2	1	0	2	0	0	0	1
