ABCC3	0	0	0	2	0	2	2	0	2	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	2	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	2	2	0	0	2	0	0	0	2	0	0	2	0	2	0	0	0	2	2	2	0	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	2	0	2	0	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	2	0	2	2	0	2	0	2	2	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	2	0	2	2	0	2	0	0	2	0	0	0	0	0	0	2	2	0	0	2	0	2	2	2	2	0	0	0	2	0	2	0	2	0	2	0	2	0	2	2	0	0	2	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	2	2	2	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	2	0	0	2	0	0	0	0	0	2	0	2	0	0	2	0	0	2	0	2	2	0	2	2	2	0	2	0	0	0	2	0	0
ABCG1	0	1	2	2	0	2	2	1	2	0	2	0	2	0	2	2	0	1	1	0	2	2	2	0	0	2	0	1	2	0	1	1	1	0	2	0	2	1	0	0	2	2	1	1	2	2	2	1	0	0	0	2	2	2	2	0	2	2	1	2	1	1	2	1	0	1	2	0	2	2	1	0	1	2	2	2	2	0	2	1	1	2	0	0	2	2	2	2	2	2	0	2	1	0	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	2	0	2	2	0	1	2	0	2	1	2	2	0	2	0	0	1	0	1	1	2	0	2	2	1	0	2	1	2	2	0	2	2	0	2	2	2	0	2	2	1	2	1	2	0	1	1	1	2	2	1	1	0	0	2	1	0	2	2	0	2	0	2	2	2	0	2	2	2	1	1	2	1	1	2	0	0	0	0	0	1	2	1	2	1	2	2	2	0	2	1	1	1	1	0	2	2	2	2	0	2	0	1	0	2	2	1	2	2	0	1	0	1	1	2	1	2	2	2	0	1	1	2	2	2	1	2	2	0	2	2	2	1	2	2	0	2	2	2	1	2	0	2	0	2	2	2	2	2	2	2	1	0	0	1	1	2	2	0	2	1	1	2	2	0	1	1	1	0	0	2	2	0	2	1	2	2	0	2	1	1	1	1	2	2	2	0	2	1	1	2	2	2	2
ABHD2	1	2	2	0	0	1	2	2	2	1	0	2	2	0	0	2	0	2	1	1	1	1	0	0	0	1	0	0	2	1	2	2	2	1	2	0	2	2	1	2	0	1	2	1	2	0	1	2	0	2	0	1	2	0	1	0	0	2	2	1	1	2	1	2	2	2	0	0	2	1	1	0	2	2	2	1	2	0	2	2	1	2	0	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	0	1	1	2	2	1	2	2	2	1	1	0	0	2	2	1	1	0	2	1	1	1	1	0	2	2	1	2	1	1	0	1	1	1	0	1	2	1	0	2	1	1	0	0	2	1	1	2	2	2	0	1	1	1	1	1	1	1	1	1	2	1	1	0	2	0	1	1	0	2	0	1	1	2	0	0	0	1	2	2	1	2	2	2	1	1	1	1	0	2	2	1	1	2	1	2	2	0	1	1	2	1	2	1	1	0	1	1	1	2	1	1	1	1	0	1	1	1	1	2	1	0	2	0	2	2	1	1	0	2	2	1	0	2	2	1	1	1	0	2	1	2	1	1	2	0	2	2	2	1	1	0	0	1	1	0	2	1	1	1	2	1	0	2	2	1	0	2	1	2	2	0	1	1	2	1	2	0	1	0	0	2	1	2	2	2	1	1	2	2	2	1	1	0	1	1	2	1	2	1	0	2	0
ACPP	1	1	0	0	1	2	1	1	1	0	2	0	1	0	0	1	1	0	0	1	2	2	0	0	2	0	0	2	1	1	2	0	0	1	1	2	0	0	0	2	0	0	0	0	0	2	0	1	2	1	0	2	0	0	0	2	2	1	2	0	2	0	0	1	1	1	2	1	0	0	0	2	1	0	1	0	2	0	2	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	2	2	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	2	0	1	2	0	0	0	2	2	1	0	0	0	1	0	0	2	0	1	2	2	0	0	0	1	0	0	0	0	2	2	0	0	2	1	2	0	0	0	2	2	2	2	0	1	2	0	1	0	0	1	0	0	0	0	0	2	1	1	2	1	0	0	0	2	2	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	2	1	0	0	0	2	0	1	0	0	2	1	0	2	2	1	0	2	2	1	0	1	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	1	0	2	1	1	2	0	0	0	0	2	1	0	1	1	1	0	2	1	1	0	2	1	2	2	0	0	1	0	0	0	1	0	0	1	2	0	2	0	0	0	0	0	2	0	1	2
ADAM28	1	1	0	2	1	1	1	0	1	0	2	2	0	0	2	1	1	0	1	0	1	0	1	0	0	0	2	0	0	0	2	2	1	2	0	1	2	1	0	2	2	0	0	0	2	1	0	2	1	1	1	0	2	1	2	0	2	0	0	0	0	1	0	2	0	0	2	0	1	0	0	1	1	2	0	1	1	1	0	2	2	0	1	1	0	1	0	2	1	0	2	0	2	0	0	0	0	2	1	0	2	2	0	1	1	0	0	2	2	1	1	0	2	0	1	0	0	0	2	0	0	1	0	1	1	2	0	1	0	0	1	1	0	0	0	0	0	2	1	1	0	0	0	1	1	0	2	0	0	0	0	0	1	2	0	2	0	0	0	1	1	2	0	0	1	0	0	1	2	1	1	0	2	0	1	2	0	2	0	1	2	0	1	1	1	2	0	1	2	0	1	0	1	0	0	1	1	0	0	1	2	2	0	2	0	2	0	1	0	1	2	0	1	2	0	0	0	1	0	1	1	0	0	1	2	0	0	2	1	2	0	1	0	1	2	0	1	2	0	1	1	1	0	2	0	0	1	1	0	1	2	0	0	0	1	1	2	1	1	1	2	0	1	0	1	1	2	1	0	1	0	0	0	0	2	0	1	0	2	2	1	1	1	1	2	1	1	0	1	0	0	1	1	1	2	1	0	1	0	2	1	1	1
ADAMDEC1	0	1	0	0	2	1	2	1	0	0	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	0	2	1	2	0	1	1	2	0	1	2	0	2	0	1	1	1	0	1	1	1	1	1	1	1	1	2	0	2	2	2	2	0	2	1	2	1	2	1	2	1	2	0	1	1	1	2	1	2	1	0	1	2	1	0	0	0	2	0	0	1	2	2	2	2	1	1	1	0	1	1	0	0	0	2	1	0	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	0	0	2	2	1	0	1	0	1	2	1	1	1	1	0	1	0	1	1	0	2	0	1	2	1	0	2	1	0	0	1	2	0	0	1	2	0	2	2	1	0	0	1	2	1	1	2	0	2	0	1	2	2	1	1	0	2	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	2	2	1	0	1	1	2	1	2	0	1	1	1	1	0	1	1	2	2	1	1	0	0	0	2	0	1	2	1	2	2	0	0	2	1	0	0	0	1	0	1	0	1	1	0	1	1	2	1	0	1	2	2	0	1	1	1	1	0	0	0	1	1	1	2	2	0	2	2	1	0	1	0	2	2	1	1	1	1	1	0	1	2	2	1	2	2	0	0	1	2	1	2	0	0	1	2	1	1	2	0	0	1	2	2	2	2	1	1	1	2	0	1
ADCY7	2	1	2	1	2	1	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	1	2	2	1	2	2	1	2	0	1	0	0	2	0	2	0	2	0	0	1	2	0	2	1	0	0	1	0	2	0	0	0	1	2	2	0	1	0	2	2	0	2	0	1	1	0	0	1	2	2	2	0	0	2	2	2	2	2	1	0	0	1	0	0	2	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	2	0	2	2	1	2	0	0	2	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	2	0	2	2	0	2	0	0	0	1	2	2	0	0	2	2	0	0	0	0	1	2	0	0	1	0	1	2	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	1	1	2	0	0	0	0	2	0	1	0	2	1	0	0	1	1	2	2	2	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	1	0	2	0	2	2	0	0	2	0	0	2	0	0	1	2	0	0	1	2	0	1	0	2	2	0	1	2	0	2	2	2	0	2	0	2	2	0	1	2	0
ADORA2B	0	2	2	2	0	2	2	2	2	2	2	0	2	0	2	2	0	2	0	2	0	1	1	2	1	0	1	1	1	0	2	0	1	2	0	2	2	2	2	1	0	2	0	2	0	2	1	0	2	2	2	2	2	0	2	2	1	0	2	2	1	1	2	2	2	1	2	2	0	2	2	2	2	1	2	0	2	2	2	0	2	1	0	0	0	2	2	2	2	2	1	2	1	2	2	2	0	2	2	1	2	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	2	2	0	0	0	2	2	2	0	2	1	1	2	2	1	0	0	2	2	2	0	2	2	0	2	2	1	0	2	2	1	2	0	2	1	1	0	0	2	1	2	2	2	2	2	2	0	2	1	2	2	0	2	2	2	1	2	2	2	1	2	2	1	2	2	2	0	1	0	1	0	0	2	2	2	2	0	0	2	0	0	2	1	1	2	0	2	2	0	2	2	0	1	2	2	2	2	2	2	2	2	1	0	0	2	2	2	2	0	0	0	2	2	1	2	0	2	1	2	1	2	2	1	0	0	1	2	2	2	0	2	1	0	2	0	1	2	1	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	1	2	1	1	2	1	1	2	0	2	2	0	2	0	2	2	0	2	2	1	1	0	0	2	1	0	1	2	2	1	1	0	2
ADORA3	0	0	0	0	2	1	0	0	0	2	1	1	0	1	1	0	2	0	2	1	1	2	0	2	1	0	1	2	0	2	2	2	2	1	2	2	2	2	0	2	1	2	0	0	1	2	2	0	2	0	1	2	2	2	1	1	1	0	1	2	0	0	2	2	0	2	1	2	0	2	2	0	2	1	0	2	0	2	1	2	1	0	2	0	1	0	2	1	2	1	2	2	1	2	0	0	0	0	2	1	1	2	2	2	2	1	0	2	0	1	1	1	2	2	2	2	2	2	2	1	2	0	2	1	0	2	2	2	1	2	1	0	2	1	0	2	0	2	2	0	2	2	2	1	2	2	2	0	2	2	2	0	2	1	0	1	2	0	2	2	0	0	2	2	2	1	1	2	1	0	2	2	1	0	1	2	2	0	1	0	1	0	0	0	0	0	1	1	1	0	2	1	2	0	0	1	0	2	2	0	0	1	0	2	0	1	2	2	1	0	1	2	0	1	1	0	2	1	2	0	0	1	0	2	1	1	1	1	0	0	0	0	2	2	0	2	0	1	1	0	2	2	1	2	1	1	0	2	2	0	2	1	0	2	0	2	1	2	1	1	2	2	1	0	2	2	2	2	1	2	2	2	1	2	2	0	0	0	2	2	1	2	0	0	2	0	2	0	2	2	0	0	2	0	1	2	1	2	0	0	2	2	2
AIF1	2	2	0	1	2	2	2	2	2	2	1	0	0	0	2	0	2	2	0	1	2	1	2	2	2	2	1	1	2	0	2	1	2	0	0	2	2	0	1	2	2	2	2	0	2	2	1	0	1	0	2	2	1	0	2	2	2	0	2	2	1	0	2	2	2	2	1	0	0	2	2	2	2	2	2	2	1	2	2	1	2	2	1	2	2	0	2	2	2	1	2	2	2	2	2	2	0	1	2	1	2	0	0	1	2	2	2	2	2	0	2	2	2	2	2	1	1	2	1	2	2	2	2	0	0	0	2	0	1	2	2	0	0	1	2	2	0	0	2	2	0	1	2	2	0	2	2	2	2	2	2	2	0	1	2	1	1	1	2	0	0	0	2	2	1	1	2	0	2	0	1	2	1	2	1	2	2	1	2	2	1	2	0	2	2	2	2	1	2	0	1	1	0	0	1	0	1	0	0	2	1	1	2	1	0	1	2	2	2	2	2	0	0	1	1	2	2	0	2	0	0	0	0	2	2	2	1	2	2	0	0	2	1	0	1	2	0	2	1	0	2	0	2	2	0	1	0	0	2	2	1	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	1	2	2	2	2	0	2	1	2	2	2	2	2	2	1	2	2	0	1	1	1	2	0	1	2	2	1	2	0	2	1	0	2	1	1	0	2
