ABCC3	2	2	2	2	2	0	2	2	0	0	2	0	2	2	2	0	2	2	2	0	0	0	2	2	0	0	2	0	2	0	0	2	0	2	0	2	2	0	0	0	2	0	2	0	0	0	2	0	0	0	2	0	2	2	2	0	0	2	2	0	0	2	0	2	0	0	2	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	2	0	2	0	0	0	0	0	2	0	2	0	0	2	2	0	0	0	0	0	2	2	2	0	2	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	2	0	2	0	0	2	2	2	2	0	0	2	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	2	2	0	2	0	2	0	0	0	2	0	2	2	0	2	0	2	0	0	0	2	0	0	2	0	0	2	2	2	0	2	2	0	0	0	2	0	2	0	0	2	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	2	0	2	2	0	0	0	2	0	0	2	0	2	0	2	0	2	2	0	2	0	0	2	0	2	0	2	2	2	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2
ABCG1	0	1	0	1	0	0	0	1	2	1	2	2	0	1	1	0	2	1	2	2	0	2	0	2	1	2	2	1	1	2	0	2	1	1	0	0	2	0	2	2	0	0	0	1	0	0	1	0	1	0	1	0	2	1	1	0	1	0	0	2	1	0	2	2	0	1	1	2	0	1	1	1	1	2	1	2	1	1	0	1	2	0	1	2	1	1	2	0	1	2	1	1	2	0	1	2	2	0	1	1	1	1	1	0	2	2	2	1	1	2	1	1	2	0	1	2	0	1	2	2	1	2	0	1	1	1	0	1	1	0	0	1	2	0	1	1	2	2	1	2	0	1	0	1	2	2	1	0	1	0	1	1	1	2	1	2	2	1	1	0	0	1	0	1	2	1	0	0	1	1	1	1	2	2	1	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	2	0	1	1	1	1	2	1	1	0	1	0	1	1	2	1	1	1	0	1	1	0	1	2	0	1	1	2	0	0	1	1	0	1	2	1	1	1	1	0	2	0	1	1	2	0	0	1	1	0	1	2	1	2	1	1	1	1	0	0	0	0	1	0	0	2	0	1	0	0	2	1	1	0	1	0	2	1	1	2	0	1	2	1	1	1	1	1	1	1	2	2	1	0	1	1	1	0	0	1	1	0	2	1	1	1	1	1	1	2	0	1	0	2	1	0	2	2	0	0	1	0	0	0	0	1	0	1	0	1	1	2	2	2	1	0	0	0	2	1	0	1	1	1	1	1	0	1	1	0
ABHD2	1	0	1	1	1	1	1	1	0	2	0	2	2	0	0	2	0	1	2	2	0	0	2	2	0	2	1	2	0	0	1	0	2	2	1	1	0	2	2	0	1	2	1	1	2	2	0	1	2	1	0	1	2	1	2	1	2	1	0	2	0	1	0	2	2	0	1	2	1	1	2	0	0	0	1	2	0	1	2	2	2	1	2	0	1	0	2	1	2	2	1	0	0	1	0	1	2	1	2	2	0	2	1	2	2	1	2	2	2	2	1	2	2	2	0	0	1	2	2	0	2	0	1	2	2	2	1	0	2	2	1	2	0	0	2	2	2	1	1	1	2	2	1	2	1	0	0	0	2	1	0	2	0	1	2	2	0	2	2	1	0	2	0	2	2	2	1	2	1	2	2	2	0	2	0	2	2	2	1	2	2	2	2	2	0	2	2	2	2	1	0	0	2	1	1	2	1	2	0	2	1	1	2	2	1	2	0	0	2	1	2	0	1	1	0	2	2	1	2	1	1	1	1	1	0	0	0	0	2	1	1	0	2	2	2	2	1	2	1	2	0	0	1	2	1	2	2	1	2	1	1	2	1	2	1	2	0	1	2	2	1	1	2	2	1	0	1	0	2	2	2	2	2	0	2	1	0	2	2	0	1	1	2	2	0	0	1	0	0	1	0	1	2	0	2	2	2	2	1	2	0	1	2	1	2	2	1	2	0	1	1	0	1	1	1	1	1	1	2	2	2	0	0	1	2	2	2	1	1	2	2	2	0	2	2	2	2	2	2	2	1
ACPP	0	1	2	2	2	2	2	0	1	1	1	0	0	0	0	1	0	0	1	2	1	0	1	0	0	0	2	2	0	1	0	1	2	0	0	2	0	1	0	2	2	0	2	2	0	0	1	0	0	2	1	2	0	2	0	0	0	0	1	2	0	2	2	0	0	0	2	2	1	0	0	2	1	0	0	0	0	2	0	0	2	2	0	0	2	1	0	0	1	0	0	1	1	0	1	0	0	2	0	0	1	0	2	0	0	0	0	0	0	2	2	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	2	0	2	0	0	0	1	1	1	2	1	1	0	2	0	1	2	0	2	1	0	1	1	1	1	0	0	2	2	2	2	1	0	2	0	0	0	1	1	1	0	2	2	2	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	2	0	0	1	1	1	0	2	2	0	2	2	0	0	2	2	0	0	2	2	1	1	0	0	0	1	0	0	1	1	1	2	2	0	2	2	2	0	1	0	0	1	0	2	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	2	2	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	1	1	2	0	0	1	2	0	1	0	0	1	0	2	0	2	0	1	2	2	0	2	0	0	0	0	1	0	1	0	0	2	2	0	0	0	2	0	2	2	0	2	0	0	2	0	0	1	1	2	0	2	1	1	0	0
ADAM28	1	0	1	2	1	2	2	1	0	0	2	0	0	1	0	0	1	1	0	1	2	1	0	1	2	1	1	1	2	1	1	1	2	2	1	1	1	2	0	1	1	0	2	2	2	2	0	1	2	0	2	1	1	1	2	2	2	2	1	1	1	2	1	2	2	2	1	1	0	2	0	2	1	1	1	1	2	1	2	1	2	0	0	1	1	1	2	0	0	0	1	0	2	0	0	2	1	1	2	2	2	0	1	2	0	1	2	2	0	2	0	2	1	2	1	1	0	2	2	0	0	2	2	2	2	0	1	2	1	2	2	2	2	1	2	2	2	0	2	1	0	2	0	1	2	2	0	2	0	1	1	0	1	1	1	1	2	2	1	2	2	0	2	1	0	2	2	0	2	0	1	2	0	2	0	2	2	1	1	1	2	2	1	0	1	2	1	1	1	2	1	0	1	2	1	2	1	0	0	2	2	0	2	2	2	0	1	2	0	0	2	0	1	2	1	1	0	1	0	1	0	2	1	2	2	2	2	2	2	1	1	2	2	0	2	1	1	1	0	2	1	1	2	2	1	1	0	0	2	1	1	2	2	0	2	0	1	2	2	2	1	0	2	1	2	1	2	2	1	1	1	2	1	2	2	0	0	1	2	1	0	1	2	2	0	2	1	1	1	2	2	1	0	2	0	2	1	2	2	2	1	2	1	2	0	2	0	0	2	2	1	0	1	0	0	1	1	1	0	0	2	0	1	2	0	2	1	0	2	1	2	2	2	1	2	2	2	2	2	1	2
ADAMDEC1	1	1	2	2	2	2	0	2	2	2	0	2	2	1	1	0	1	1	1	0	2	2	1	1	2	1	2	1	2	1	2	1	0	1	2	2	0	2	0	2	0	2	2	2	0	0	2	1	2	2	2	0	0	1	2	0	0	2	2	2	1	1	1	0	1	2	0	2	2	0	2	2	1	2	0	1	2	0	0	2	0	0	1	2	0	1	0	0	2	2	2	1	1	0	1	2	1	2	2	2	2	1	2	2	1	2	2	2	0	2	2	1	1	0	2	1	2	0	1	1	1	1	0	2	0	1	1	0	2	2	2	1	2	0	1	0	2	2	0	1	0	2	2	2	2	2	2	1	1	1	2	0	2	2	0	0	0	2	1	0	0	0	0	2	0	1	2	2	2	0	1	2	0	2	0	0	2	0	0	0	1	2	2	2	1	2	1	2	2	1	1	2	1	2	1	1	0	2	2	0	2	2	2	2	0	1	1	0	0	0	2	1	2	2	2	0	0	0	0	0	0	0	1	1	2	0	0	1	1	2	1	0	2	0	1	0	1	0	0	2	2	0	2	2	0	1	1	0	2	1	0	1	0	0	2	2	1	2	1	0	2	2	1	1	0	1	2	2	1	1	1	0	1	2	0	2	2	2	2	0	0	1	2	2	1	2	1	2	0	0	2	2	2	1	0	2	2	2	0	1	0	1	2	2	0	0	2	1	2	0	1	2	1	2	0	1	2	2	0	2	0	2	1	1	1	0	2	2	0	2	2	1	2	2	2	2	2	1	2	2	1
ADCY7	0	0	0	0	1	0	0	2	2	0	0	1	0	2	0	0	0	1	0	1	2	2	0	1	2	1	0	0	1	0	2	2	0	1	0	1	2	0	1	0	0	2	1	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	2	1	1	0	2	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	2	0	1	1	1	0	2	1	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	1	2	0	1	1	1	0	2	0	2	0	0	0	1	0	0	0	0	2	1	1	2	1	0	0	2	0	0	2	0	0	1	0	1	2	1	1	2	0	1	1	0	0	0	2	0	0	1	1	0	0	1	0	1	1	2	0	1	0	0	0	0	2	1	0	1	1	0	0	1	0	0	2	0	1	0	2	0	0	0	1	1	2	0	2	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	2	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	2	0	0	0	0	1	2	0	0	1	1	1	1	0	0	0	0	0	1	2	1	0	2	0	0	0	0	1	1	2	0	0	1	1	1	1	0	0	0	0	0	0	2	1	0	0	2	2	2	0	0	1	0	0	0	0	1	0	0	1	1	0	2	0	0	0	2	0	0	1
ADORA2B	1	1	1	2	1	1	0	2	1	0	0	1	0	0	1	0	1	1	0	2	0	1	1	1	1	2	1	2	2	1	1	1	2	1	0	1	1	0	1	2	2	1	0	1	0	2	1	0	1	1	1	1	0	1	1	1	2	0	0	2	2	1	1	1	2	1	1	1	2	0	2	1	1	2	2	2	2	2	1	1	2	1	1	1	2	1	0	2	1	1	1	1	1	2	1	1	2	1	1	1	2	0	1	1	2	2	1	1	1	1	1	0	2	1	1	1	0	1	0	0	1	2	0	1	1	0	2	1	1	1	2	0	1	1	1	1	0	0	0	1	1	1	2	1	2	2	1	1	0	1	0	2	2	2	2	2	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	2	1	1	2	1	1	2	2	1	2	2	1	1	0	2	1	2	1	1	1	1	0	1	0	1	1	1	2	1	0	2	0	2	2	1	1	2	1	1	1	1	1	0	1	0	0	0	1	1	2	1	0	2	0	1	1	1	1	1	1	2	1	2	0	2	2	1	1	0	2	1	2	0	2	1	1	1	0	1	2	1	1	2	1	1	1	1	0	2	0	1	2	1	1	2	1	0	0	1	1	2	1	1	2	1	0	1	1	2	1	2	1	1	2	0	1	2	1	2	1	0	0	2	1	0	1	1	0	1	1	2	1	2	1	1	1	2	2	2	2	2	1	2	0	2	0	1	1	2	0	0	0	0
ADORA3	1	0	1	1	1	2	2	2	1	2	0	1	0	1	0	1	0	1	1	2	1	0	0	1	1	1	2	0	1	1	1	0	0	0	2	1	0	0	1	1	1	2	1	2	1	2	1	2	1	1	0	2	2	2	2	2	1	2	2	2	1	2	1	1	0	0	2	2	1	2	0	1	2	0	2	2	0	1	1	2	1	2	0	0	1	1	1	1	0	0	2	1	0	1	0	0	0	1	1	1	1	0	0	2	1	1	1	1	1	0	2	0	1	2	1	2	2	1	0	0	0	0	2	1	2	0	1	1	0	1	1	0	1	2	0	1	1	1	2	1	0	1	2	1	2	1	0	0	0	1	1	1	1	1	1	2	1	1	2	2	2	2	0	0	1	1	2	1	2	0	1	0	1	1	1	2	1	1	2	2	2	2	1	0	1	1	1	2	1	0	0	0	1	2	1	1	1	0	0	2	1	1	0	1	2	0	1	2	0	2	1	0	2	1	1	2	2	2	1	2	1	2	2	2	1	2	1	2	1	2	1	2	2	1	0	2	2	2	1	1	1	0	1	1	2	2	1	1	2	1	2	2	2	1	2	2	1	2	1	2	2	0	0	0	2	2	0	1	1	0	2	2	1	1	2	1	0	1	1	2	1	1	1	1	2	1	2	1	1	2	1	2	0	0	2	1	0	1	0	1	0	1	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	0	0	0	2	1	2	0	0	1	1	2	2	1	1	0	2	2	1	1	2	1	1	1
AIF1	2	0	2	2	1	1	1	2	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	2	2	1	0	2	0	1	0	2	2	2	0	1	1	2	2	1	2	2	2	1	1	1	1	0	2	1	0	1	1	2	2	0	2	2	1	1	1	0	0	1	2	1	1	1	2	1	0	1	1	1	2	2	2	2	2	1	1	2	1	1	2	0	1	2	0	1	0	0	2	1	1	1	1	0	0	2	2	0	1	1	1	0	0	2	1	1	2	1	1	1	1	1	0	1	1	2	1	1	2	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	2	1	1	0	0	0	0	2	1	1	0	1	2	0	1	2	1	0	2	1	0	0	0	1	1	0	1	1	0	1	1	1	1	2	1	1	1	0	2	0	0	1	0	2	0	1	0	1	1	1	2	1	1	2	0	1	1	0	0	1	2	1	1	1	0	0	1	1	2	2	0	0	0	2	1	0	1	2	2	1	0	1	1	1	1	2	2	0	0	0	0	2	2	2	0	0	2	1	1	1	1	1	1	0	0	0	2	0	2	2	1	0	1	1	2	1	1	2	0	1	1	1	1	2	1	0	2	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	2	1	2	2	2	0	1	1	1	1	1	1	0	2	1	1	1	1	2	1	2	1	1	2	1	1	1	0	1	2	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	2	1	1	2	0	1	2	0
